id,policy,trials,accept_count,acceptance_rate,interval_lower,interval_upper,population_decision,certified_at_panel_size,panel_size,delta,estimation_status,decision_changed_from_declared,certification_changed_from_declared
grt-03,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
grt-03,successes_only,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
grt-04,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
grt-04,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
grt-04,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
hlt-01,declared_map_to_reject,40,39,0.975,0.7811454507852811,0.999984370237298,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
hlt-01,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
hlt-01,successes_only,39,39,1.0,0.8276430593038838,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
hlt-02,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
hlt-02,all_non_success_to_accept,40,1,0.025,1.562976270194556e-05,0.21885454921471933,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
hlt-02,successes_only,39,0,0.0,0.0,0.17235694069611665,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
hlt-03,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
hlt-03,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
hlt-03,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-01,declared_map_to_reject,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-01,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-01,successes_only,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-02,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-02,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-02,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-03,declared_map_to_reject,40,23,0.575,0.315788231871242,0.807602578657394,accept,False,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-03,all_non_success_to_accept,40,23,0.575,0.315788231871242,0.807602578657394,accept,False,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-03,successes_only,40,23,0.575,0.315788231871242,0.807602578657394,accept,False,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-04,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-04,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
ins-04,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-01,declared_map_to_reject,40,39,0.975,0.7811454507852811,0.999984370237298,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-01,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-01,successes_only,39,39,1.0,0.8276430593038838,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-02,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-02,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-02,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-03,declared_map_to_reject,40,25,0.625,0.3614204260323059,0.8441997735535076,accept,False,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-03,all_non_success_to_accept,40,25,0.625,0.3614204260323059,0.8441997735535076,accept,False,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-03,successes_only,40,25,0.625,0.3614204260323059,0.8441997735535076,accept,False,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-04,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-04,all_non_success_to_accept,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mkt-04,successes_only,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mod-01,declared_map_to_reject,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mod-01,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mod-01,successes_only,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mod-02,declared_map_to_reject,40,1,0.025,1.562976270194556e-05,0.21885454921471933,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mod-02,all_non_success_to_accept,40,1,0.025,1.562976270194556e-05,0.21885454921471933,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mod-02,successes_only,40,1,0.025,1.562976270194556e-05,0.21885454921471933,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mod-03,declared_map_to_reject,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mod-03,all_non_success_to_accept,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mod-03,successes_only,40,40,1.0,0.8315665290169146,1.0,accept,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
mod-04,declared_map_to_reject,40,0,0.0,0.0,0.16843347098308578,reject,True,47,0.01,descriptive_failure_policy_sensitivity,False,False
